,,baseline,add_unlab,anchor,teacher
0.0,gchurns_val,185.0,147.0,178.0,
0.0,bchurns_val,278.0,223.0,300.0,
0.0,accuracies_val,91.42500305175781,91.5374984741211,91.1624984741211,91.6875
0.3,gchurns_val,185.0,141.0,164.0,
0.3,bchurns_val,278.0,213.0,244.0,
0.3,accuracies_val,91.42500305175781,91.5999984741211,91.42500305175781,91.6875
0.5,gchurns_val,185.0,117.0,149.0,
0.5,bchurns_val,278.0,186.0,214.0,
0.5,accuracies_val,91.42500305175781,91.44999694824219,91.61250305175781,91.6875
0.7,gchurns_val,185.0,120.0,154.0,
0.7,bchurns_val,278.0,215.0,218.0,
0.7,accuracies_val,91.42500305175781,91.23750305175781,91.5,91.6875
0.9,gchurns_val,185.0,132.0,146.0,
0.9,bchurns_val,278.0,199.0,213.0,
0.9,accuracies_val,91.42500305175781,91.61250305175781,91.61250305175781,91.6875
