,,baseline,add_unlab,anchor,teacher
0.0,gchurns_val,160.0,145.0,186.0,
0.0,bchurns_val,284.0,209.0,312.0,
0.0,accuracies_val,91.1500015258789,91.7874984741211,91.1500015258789,91.9625015258789
0.3,gchurns_val,160.0,138.0,168.0,
0.3,bchurns_val,284.0,181.0,261.0,
0.3,accuracies_val,91.1500015258789,91.82499694824219,91.4375,91.9625015258789
0.5,gchurns_val,160.0,132.0,152.0,
0.5,bchurns_val,284.0,185.0,256.0,
0.5,accuracies_val,91.1500015258789,91.76249694824219,91.30000305175781,91.9625015258789
0.7,gchurns_val,160.0,114.0,135.0,
0.7,bchurns_val,284.0,150.0,185.0,
0.7,accuracies_val,91.1500015258789,91.8499984741211,91.8125,91.9625015258789
0.9,gchurns_val,160.0,117.0,137.0,
0.9,bchurns_val,284.0,173.0,196.0,
0.9,accuracies_val,91.1500015258789,91.73750305175781,91.80000305175781,91.9625015258789
