,,baseline,add_unlab,anchor,teacher
0,gchurns_val,164,153,181,
0,bchurns_val,268,188,264,
0,churn_ratio,0.611940299,0.813829787,0.685606061,
0,accuracies_val,91.42500305,92.13749695,91.58750153,92.01249695
0.3,gchurns_val,164,139,166,
0.3,bchurns_val,268,189,265,
0.3,churn_ratio,0.611940299,0.735449735,0.626415094,
0.3,accuracies_val,91.42500305,91.88749695,91.625,92.01249695
0.5,gchurns_val,164,134,155,
0.5,bchurns_val,268,186,236,
0.5,churn_ratio,0.611940299,0.720430108,0.656779661,
0.5,accuracies_val,91.42500305,91.875,91.73750305,92.01249695
0.7,gchurns_val,164,119,141,
0.7,bchurns_val,268,141,221,
0.7,churn_ratio,0.611940299,0.843971631,0.63800905,
0.7,accuracies_val,91.42500305,92.17500305,91.66249847,92.01249695
0.9,gchurns_val,164,130,147,
0.9,bchurns_val,268,162,192,
0.7,churn_ratio,0.611940299,0.802469136,0.765625,
0.9,accuracies_val,91.42500305,92.03749847,92.01249695,92.01249695
