,,baseline,add_unlab,anchor,teacher
0,gchurns_val,169,134,173,
0,bchurns_val,330,223,286,
0,churn_ratio,0.512121212,0.600896861,0.604895105,
0,accuracies_val,90.83750153,91.51249695,91.4375,92.07499695
0.3,gchurns_val,169,117,149,
0.3,bchurns_val,330,191,258,
0.3,churn_ratio,0.512121212,0.612565445,0.57751938,
0.3,accuracies_val,90.83750153,91.625,91.375,92.07499695
0.5,gchurns_val,169,126,147,
0.5,bchurns_val,330,154,245,
0.5,churn_ratio,0.512121212,0.818181818,0.6,
0.5,accuracies_val,90.83750153,92.09999847,91.53749847,92.07499695
0.7,gchurns_val,169,136,143,
0.7,bchurns_val,330,184,198,
0.7,churn_ratio,0.512121212,0.739130435,0.722222222,
0.7,accuracies_val,90.83750153,91.96250153,91.83750153,92.07499695
0.9,gchurns_val,169,127,124,
0.9,bchurns_val,330,197,206,
0.9,churn_ratio,0.512121212,0.644670051,0.601941748,
0.9,accuracies_val,90.83750153,91.72499847,91.625,92.07499695
