,,baseline,add_unlab,anchor,teacher
0.0,gchurns_val,166.0,135.0,175.0,
0.0,bchurns_val,240.0,171.0,252.0,
0.0,accuracies_val,91.63749694824219,91.9749984741211,91.6875,91.94999694824219
0.3,gchurns_val,166.0,136.0,162.0,
0.3,bchurns_val,240.0,159.0,228.0,
0.3,accuracies_val,91.63749694824219,92.0625,91.67500305175781,91.94999694824219
0.5,gchurns_val,166.0,125.0,145.0,
0.5,bchurns_val,240.0,171.0,201.0,
0.5,accuracies_val,91.63749694824219,91.8125,91.73750305175781,91.94999694824219
0.7,gchurns_val,166.0,124.0,146.0,
0.7,bchurns_val,240.0,164.0,178.0,
0.7,accuracies_val,91.63749694824219,91.8125,92.0625,91.94999694824219
0.9,gchurns_val,166.0,118.0,144.0,
0.9,bchurns_val,240.0,176.0,187.0,
0.9,accuracies_val,91.63749694824219,91.6624984741211,91.875,91.94999694824219
