,,baseline,add_unlab,anchor,teacher
0,gchurns_val,176,124,170,
0,bchurns_val,286,221,299,
0,churn_ratio,0.615384615,0.561085973,0.568561873,
0,accuracies_val,91.47499847,91.41249847,91.21250153,92.02500153
0.3,gchurns_val,176,106,160,
0.3,bchurns_val,286,216,254,
0.3,churn_ratio,0.615384615,0.490740741,0.62992126,
0.3,accuracies_val,91.47499847,91.30000305,91.65000153,92.02500153
0.5,gchurns_val,176,113,141,
0.5,bchurns_val,286,215,248,
0.5,churn_ratio,0.615384615,0.525581395,0.568548387,
0.5,accuracies_val,91.47499847,91.32499695,91.51249695,92.02500153
0.7,gchurns_val,176,108,138,
0.7,bchurns_val,286,192,237,
0.7,churn_ratio,0.615384615,0.5625,0.582278481,
0.7,accuracies_val,91.47499847,91.55000305,91.53749847,92.02500153
0.9,gchurns_val,176,112,133,
0.9,bchurns_val,286,175,221,
0.9,churn_ratio,0.615384615,0.64,0.601809955,
0.9,accuracies_val,91.47499847,91.77500153,91.65000153,92.02500153
