,,baseline,add_unlab,anchor,teacher
0.0,gchurns_val,143.0,127.0,153.0,
0.0,bchurns_val,270.0,238.0,291.0,
0.0,accuracies_val,91.5625,91.6875,91.375,92.42500305175781
0.3,gchurns_val,143.0,144.0,134.0,
0.3,bchurns_val,270.0,229.0,216.0,
0.3,accuracies_val,91.5625,91.98750305175781,91.92500305175781,92.42500305175781
0.5,gchurns_val,143.0,107.0,131.0,
0.5,bchurns_val,270.0,189.0,249.0,
0.5,accuracies_val,91.5625,91.9000015258789,91.5250015258789,92.42500305175781
0.7,gchurns_val,143.0,115.0,124.0,
0.7,bchurns_val,270.0,166.0,238.0,
0.7,accuracies_val,91.5625,92.1875,91.61250305175781,92.42500305175781
0.9,gchurns_val,143.0,114.0,107.0,
0.9,bchurns_val,270.0,171.0,183.0,
0.9,accuracies_val,91.5625,92.05000305175781,91.875,92.42500305175781
