,,baseline,add_unlab,anchor,teacher
0,gchurns_val,172,149,153,
0,bchurns_val,251,200,279,
0,churn_ratio,0.685258964,0.745,0.548387097,
0,accuracies_val,92.07499695,92.21250153,91.52500153,92.34999847
0.3,gchurns_val,172,123,171,
0.3,bchurns_val,251,154,231,
0.3,churn_ratio,0.685258964,0.798701299,0.74025974,
0.3,accuracies_val,92.07499695,92.32499695,92.22499847,92.34999847
0.5,gchurns_val,172,127,154,
0.5,bchurns_val,251,159,194,
0.5,churn_ratio,0.685258964,0.798742138,0.793814433,
0.5,accuracies_val,92.07499695,92.375,92.42500305,92.34999847
0.7,gchurns_val,172,116,143,
0.7,bchurns_val,251,171,193,
0.7,churn_ratio,0.685258964,0.678362573,0.740932642,
0.7,accuracies_val,92.07499695,92.09999847,92.21250153,92.34999847
0.9,gchurns_val,172,119,146,
0.9,bchurns_val,251,145,184,
0.9,churn_ratio,0.685258964,0.820689655,0.793478261,
0.9,accuracies_val,92.07499695,92.38749695,92.34999847,92.34999847
